"day","shift","num_pickups"
"2018-08-08","MS",61
"2018-02-14","MS",75
"2018-05-09","MS",110
"2018-06-04","MS",67
"2018-07-03","MS",59
"2018-07-23","ES",62
"2018-03-12","MS",47
"2018-05-25","MS",44
"2018-03-02","MS",74
"2018-01-03","MS",118
"2018-08-18","MS",46
"2018-04-18","ES",27
"2018-01-10","MS",69
"2018-03-03","MS",51
"2018-06-01","MS",110
"2018-06-04","ES",54
"2018-06-06","MS",113
"2018-05-28","ES",58
"2018-05-12","MS",27
"2018-04-04","ES",66
"2018-03-05","ES",56
"2018-07-24","MS",42
"2018-01-31","MS",53
"2018-06-11","MS",91
"2018-05-23","MS",123
"2018-05-16","MS",116
"2018-07-16","ES",64
"2018-07-09","MS",82
"2018-04-30","MS",90
"2018-05-28","MS",122
"2017-12-20","MS",51
"2018-03-21","MS",51
"2017-12-22","MS",46
"2018-02-12","ES",54
"2018-06-29","MS",118
"2018-05-02","MS",96
"2018-04-25","MS",111
"2018-07-06","MS",36
"2017-12-02","MS",48
"2018-03-14","ES",37
"2018-01-03","ES",69
"2018-05-05","MS",20
"2018-05-04","MS",75
"2018-01-08","MS",102
"2018-02-14","ES",41
"2018-04-30","ES",41
"2018-06-25","MS",86
"2017-12-08","MS",56
"2018-02-26","ES",59
"2018-01-22","ES",42
"2018-01-24","ES",24
"2018-06-18","MS",112
"2018-08-08","ES",31
"2018-03-09","MS",73
"2018-02-09","MS",69
"2018-07-04","MS",67
"2018-08-15","MS",68
"2018-05-14","MS",61
"2018-07-11","MS",64
"2018-08-04","MS",53
"2018-05-02","ES",38
"2018-05-30","MS",93
"2017-12-27","MS",52
"2018-02-21","MS",62
"2018-02-02","MS",106
"2018-04-04","MS",132
"2018-06-11","ES",68
"2017-12-11","MS",70
"2018-06-15","MS",87
"2018-07-21","MS",60
"2018-03-19","MS",110
"2018-08-03","MS",74
"2018-04-18","MS",112
"2018-03-28","ES",23
"2018-07-25","MS",64
"2018-01-20","MS",44
"2018-04-23","MS",106
"2018-08-13","ES",51
"2018-07-20","MS",85
"2018-04-16","ES",51
"2018-06-06","ES",33
"2018-07-30","ES",56
"2017-12-11","ES",49
"2017-12-18","ES",52
"2018-08-01","MS",49
"2018-07-02","ES",44
"2018-03-19","ES",59
"2018-08-17","MS",68
"2018-02-23","MS",87
"2018-02-28","ES",48
"2018-05-19","MS",45
"2018-04-09","ES",46
"2018-06-16","MS",23
"2018-01-17","MS",67
"2018-04-23","ES",43
"2017-12-04","MS",86
"2018-06-25","ES",70
"2018-05-22","MS",75
"2018-02-17","MS",27
"2018-07-30","MS",73
"2018-03-28","MS",61
"2018-01-08","ES",51
"2018-06-23","MS",46
"2017-12-15","MS",82
"2018-07-23","MS",73
"2018-07-17","MS",46
"2018-03-17","MS",41
"2018-04-14","MS",44
"2018-01-24","MS",62
"2018-07-13","MS",81
"2018-03-12","ES",41
"2018-03-23","MS",103
"2018-06-30","MS",60
"2018-04-27","MS",61
"2018-04-11","ES",50
"2018-07-07","MS",59
"2018-04-13","MS",68
"2018-02-19","MS",115
"2018-06-27","MS",73
"2018-06-20","ES",31
"2018-01-29","ES",46
"2018-02-12","MS",60
"2018-05-23","ES",42
"2018-01-29","MS",66
"2018-03-16","MS",65
"2017-12-06","MS",74
"2017-12-23","MS",32
"2018-07-27","MS",74
"2018-02-26","MS",94
"2018-07-10","MS",38
"2017-12-27","ES",34
"2018-02-24","MS",45
"2018-02-21","ES",43
"2018-02-19","ES",65
"2018-02-03","MS",28
"2018-03-10","MS",36
"2018-01-15","ES",50
"2018-04-06","MS",103
"2018-06-27","ES",43
"2018-07-11","ES",26
"2017-12-18","MS",77
"2018-02-05","MS",72
"2018-08-06","ES",57
"2018-02-07","MS",74
"2018-05-16","ES",47
"2018-01-05","MS",29
"2018-06-09","MS",55
"2018-07-28","MS",36
"2018-08-15","ES",35
"2018-07-31","MS",48
"2017-12-29","MS",19
"2018-06-13","MS",59
"2018-03-24","MS",45
"2018-02-10","MS",29
"2018-07-02","MS",84
"2018-07-16","MS",86
"2018-03-07","MS",61
"2017-12-13","MS",67
"2018-04-25","ES",25
"2018-08-06","MS",73
"2018-03-14","MS",89
"2018-05-07","ES",23
"2018-06-08","MS",86
"2018-01-10","ES",22
"2018-01-17","ES",25
"2018-07-04","ES",30
"2018-07-14","MS",49
"2018-06-18","ES",73
"2018-01-15","MS",74
"2018-05-18","MS",80
"2018-04-11","MS",94
"2018-07-18","MS",49
"2017-12-04","ES",60
"2018-02-05","ES",44
"2017-12-16","MS",44
"2018-01-19","MS",86
"2018-08-14","MS",34
"2018-04-09","MS",74
"2018-04-21","MS",29
"2018-01-13","MS",40
"2018-07-09","ES",57
"2017-12-30","MS",21
"2018-08-10","MS",63
"2018-07-18","ES",30
"2018-08-01","ES",39
"2017-12-06","ES",40
"2018-08-11","MS",44
"2018-06-22","MS",68
"2018-08-13","MS",74
"2018-06-20","MS",79
"2018-04-20","MS",70
"2018-03-05","MS",86
"2018-04-28","MS",31
"2018-02-07","ES",25
"2018-01-12","MS",82
"2018-04-07","MS",25
"2018-04-16","MS",98
"2018-01-26","MS",74
"2018-03-26","ES",40
"2018-05-07","MS",109
"2018-02-28","MS",50
"2018-01-22","MS",70
"2018-01-31","ES",27
"2018-05-26","MS",45
"2018-03-07","ES",35
"2018-02-16","MS",65
"2017-12-13","ES",29
"2018-05-11","MS",77
"2017-12-09","MS",37
"2018-08-07","MS",29
"2018-05-30","ES",53
"2017-12-01","MS",67
"2018-05-14","ES",25
"2018-03-21","ES",16
"2018-01-06","MS",25
"2018-03-26","MS",72
"2017-12-20","ES",23
"2018-06-13","ES",35
"2018-05-09","ES",20
"2018-01-27","MS",32
"2018-06-02","MS",35
"2018-07-25","ES",30
"2018-05-11","ES",1
